bit16,bit24,bit16_hex,bit24_hex
0011110001011100,100000000000010011011111,3C5C,8004DF
0011110001011100,100000000000010011100001,3C5C,8004E1
0011110001011100,100000000000010011100100,3C5C,8004E4
0011110001011100,100000000000010011100110,3C5C,8004E6
0011110001011100,100000000000010011101001,3C5C,8004E9
0011110001011100,100000000000010011101011,3C5C,8004EB
0011110001011100,100000000000010011101110,3C5C,8004EE
0011110001011100,100000000000010011110000,3C5C,8004F0
0011110001011100,100000000000010011110011,3C5C,8004F3
0011110001011100,100000000000010011110101,3C5C,8004F5
0011110001011100,100000000000010011111000,3C5C,8004F8
0011110001011100,100000000000010011111010,3C5C,8004FA
0011110001011100,100000000000010011111101,3C5C,8004FD
0011110001011100,100000000000010011111111,3C5C,8004FF
0011110001011100,100000000000010100000010,3C5C,800502
0011110001011100,100000000000010100000100,3C5C,800504
0011110001011100,100000000000010100000111,3C5C,800507
0011110001011100,100000000000010100001001,3C5C,800509
0011110001011100,100000000000010100001100,3C5C,80050C
0011110001011100,100000000000010100001110,3C5C,80050E
0011110001011100,100000000000010100010001,3C5C,800511
0011110001011100,100000000000010100010011,3C5C,800513
0011110001011100,100000000000010100010110,3C5C,800516
0011110001011100,100000000000010100011000,3C5C,800518
0011110001011100,100000000000010100011011,3C5C,80051B
0011110001011100,100000000000010100011101,3C5C,80051D
0011110001011100,100000000000010100100000,3C5C,800520
0011110001011100,100000000000010100100010,3C5C,800522
0011110001011100,100000000000010100100101,3C5C,800525
0011110001011100,100000000000010100100111,3C5C,800527
0011110001011100,100000000000010100101010,3C5C,80052A
0011110001011100,100000000000010100101100,3C5C,80052C
0011110001011100,100000000000010100101111,3C5C,80052F
0011110001011100,100000000000010100110001,3C5C,800531
0011110001011100,100000000000010100110100,3C5C,800534
0011110001011100,100000000000010100110110,3C5C,800536
0011110001011100,100000000000010100111001,3C5C,800539
0011110001011100,100000000000010100111011,3C5C,80053B
0011110001011100,100000000000010100111110,3C5C,80053E
0011110001011100,100000000000010101000000,3C5C,800540
0011110001011100,100000000000010101000011,3C5C,800543
0011110001011100,100000000000010101000101,3C5C,800545
0011110001011100,100000000000010101001000,3C5C,800548
0011110001011100,100000000000010101001010,3C5C,80054A
0011110001011100,100000000000010101001101,3C5C,80054D
0011110001011100,100000000000010101001111,3C5C,80054F
0011110001011100,100000000000010101010010,3C5C,800552
0011110001011100,100000000000010101010100,3C5C,800554
0011110001011100,100000000000010101010111,3C5C,800557
0011110001011100,100000000000010101011001,3C5C,800559
0011110001011100,100000000000010101011100,3C5C,80055C
0011110001011100,100000000000010101011110,3C5C,80055E
0011110001011100,100000000000010101100001,3C5C,800561
0011110001011100,100000000000010101100011,3C5C,800563
0011110001011100,100000000000010101100110,3C5C,800566
0011110001011100,100000000000010101101000,3C5C,800568
0011110001011100,100000000000010101101011,3C5C,80056B
0011110001011100,100000000000010101101101,3C5C,80056D
0011110001011100,100000000000010101110000,3C5C,800570
0011110001011100,100000000000010101110010,3C5C,800572
0011110001011100,100000000000010101110101,3C5C,800575
0011110001011100,100000000000010101110111,3C5C,800577
0011110001011100,100000000000010101111010,3C5C,80057A
0011110001011100,100000000000010101111100,3C5C,80057C
0011110001011100,100000000000010101111111,3C5C,80057F
0011110001011100,100000000000010110000001,3C5C,800581
0011110001011100,100000000000010110000100,3C5C,800584
0011110001011100,100000000000010110000110,3C5C,800586
0011110001011100,100000000000010110001001,3C5C,800589
0011110001011100,100000000000010110001011,3C5C,80058B
